Source,Target
376659,179144
342473,9325
10735,118
10096,258480
246741,49017
455656,10625
257211,10735
474335,128814
194,1278
93456,207703
325189,9880
301337,335984
449749,8649
188222,109414
18785,627
22538,49332
454619,281957
10184,10641
224141,809
371638,769
542437,444705
787,1620
9339,924
310,59678
218746,52449
11688,150689
116745,578
116149,10140
339404,36647
211672,93456
11688,810
12133,11091
452731,258480
466282,449176
608,817
425,17610
55721,454992
64688,90
400579,10054
487558,1883
384677,769
452731,10818
257344,605
9502,24
46195,30197
505906,1824
337170,141
11283,382591
224141,10882
76492,129
2770,11129
196867,224141
290762,370663
27022,767
364433,141052
196867,150689
4258,808
487558,640
346648,278927
11397,9880
49013,77950
10735,668
20048,222935
324852,10140
585,13374
72105,862
57800,10567
325189,2105
88751,11571
65057,1597
325133,179144
950,7840
391713,273153
268531,406997
4523,224141
324852,16314
9928,157336
228967,954
196867,9325
4523,808
7453,126889
181533,863
120467,539
12153,11565
43074,620
109451,3035
381289,281957
35,122906
50544,13523
134374,111
11631,10735
431530,13673
9339,2044
505906,4951
339846,2756
9502,140300
106646,400535
809,150689
137116,13374
452731,437557
7446,856
41154,20424
109439,87502
10735,9813
346648,2268
77931,3933
39513,228161
454619,3134
4256,5060
346648,2454
402900,1572
49524,75780
11130,50546
109414,627
332210,810
391713,398818
4256,378991
37735,10625
20352,20497
238713,954
2770,27088
353616,354912
193893,90
100042,44564
400579,2758
193893,86838
267193,213
296099,11153
225886,11224
950,387893
211672,366143
474335,2300
2062,295964
350,50619
10625,449176
10661,612
252838,712
22705,55580
400155,24021
10096,1572
474335,55278
462919,621
106646,398181
8961,562
340022,1572
109439,8859
455207,281957
10184,261470
6477,364689
171274,9880
22538,16129
256961,298
50546,38
12222,37135
120467,843
455980,445571
35,5915
10527,11430
412988,927
371638,9880
466282,12689
334533,261
1824,409
400928,10830
253235,317744
136795,49049
10193,862
39513,49849
77931,10530
445571,11974
26123,272693
25195,24
253235,567
10591,272693
23023,14128
6957,112160
109414,14
62177,10882
11397,15144
207703,1726
449749,103663
39514,955
12222,278927
22794,20497
64688,11423
399796,8277
1593,135397
399170,949
41630,55721
137106,9531
290762,13
502682,448514
335797,9598
431530,10872
44896,298
23631,425
310,604
137116,150540
6477,920
431530,10147
116745,438970
20352,15739
400928,14069
353486,70160
8355,351286
1824,1903
171274,290250
77338,44564
8920,16859
1268,1281
43074,416234
76492,767
399170,9654
383498,155
418827,10068
293660,379291
370567,10705
9982,607
77338,290762
27581,503982
290250,395990
4944,455565
387592,11770
291870,24
18240,45153
93456,10054
225886,49519
383498,1924
290762,10641
12153,562
452731,10735
809,810
446894,413644
466282,272693
45243,12593
339404,272
2770,17899
399174,263109
11430,9732
10947,74018
109431,193893
64688,193893
507562,81
114150,254470
13374,14069
137116,585
454992,206647
136799,122
12222,10603
318846,10673
272693,286565
397422,68718
335797,9836
449176,184352
11631,109445
258509,335797
1824,346685
8920,15370
246741,2907
218746,14069
153518,810
809,10882
19913,398818
353486,258489
585,62211
171274,8966
37735,9880
166426,1865
6957,27088
416477,241239
109451,2062
920,49013
364433,49521
339846,228165
301337,604
455980,260514
127380,12
12133,1631
166426,58
437557,391713
12133,12689
466282,43923
14160,3933
332210,9732
59678,17654
387592,425
296099,306
291805,467938
350,2501
13053,11886
257445,68737
13053,10948
384677,11517
271718,195589
177572,2048
340022,1571
2976,630
420814,316029
268531,14069
10096,9671
50544,290762
159824,767
150540,11360
2899,1734
98566,604
10315,281957
11770,605
80321,953
324852,2270
11688,10473
9339,10353
420814,640
171274,769
194662,155
228967,47964
211672,20352
227159,562
9502,812
10947,11887
449176,26280
4599,101
238713,817
324849,141052
7453,101299
505906,20943
400579,14211
2062,10009
4258,40264
62177,10895
4599,14211
449176,26371
109431,949
420814,769
9339,264644
787,156022
51540,340837
51540,398181
106646,769
608,840
339846,205775
507562,374205
425,18905
350,9880
62764,808
15165,38757
454983,417678
293660,1924
18360,863
18360,181533
11774,411
376659,225886
153518,9488
50544,38
100042,13
489929,270946
334533,212778
342473,196867
384677,2291
8355,105864
446894,14220
412988,10895
23398,297762
10591,9880
7443,1635
114150,6477
4248,106646
39513,840
458423,224141
10947,13649
80321,10527
253235,449749
22970,460885
9982,602
337170,813
112160,1391
339846,152747
10192,809
153518,5689
402900,259316
238713,691
2976,86829
82702,6637
4599,425
7446,14
399174,532
18360,1593
174321,10625
460668,2062
270946,260514
22705,27066
41630,862
227159,10694
246741,76492
22705,81774
37735,37725
462919,429417
207703,1924
35,398818
437557,112160
41154,126889
271718,8363
370567,540620
302699,1247
400155,49017
114150,290762
455980,254470
458423,10882
10527,9904
59436,8966
59678,7453
337170,137094
11283,675
364433,1452
194,49519
137106,13640
136799,35614
20048,9880
9486,660
302699,691
19908,336843
10193,10895
11770,24
49519,89
127380,920
383498,272
11631,437557
454983,449176
38365,290762
399170,298
82654,336843
19913,50544
290762,61979
458423,11631
25195,1979
82702,14211
397422,521
262391,381284
224141,150689
502682,451480
116149,278927
228161,19995
7443,107846
400155,277
455207,392044
397422,627
5559,363676
438970,579
7443,1701
339404,1124
82702,10191
76492,159824
257211,437557
49013,12
318846,324786
51540,557
114150,460019
77931,38757
7453,299687
214756,72105
109414,935
51540,45269
55721,10625
38365,585
4248,27088
278154,18905
223702,195589
11631,252
262391,707
22538,35161
153518,338970
353616,335797
11024,10528
7446,509
4523,408
381289,101299
7453,44826
4258,957
10555,62177
23398,13929
10591,37725
10527,8393
194,95
10315,101
188222,68718
9880,286565
9982,348
23631,745
268531,400928
77338,13
39514,137094
23631,1562
416477,20829
4327,140300
339846,11836
446894,353997
505906,13969
425,278154
340022,562
44896,9029
256961,681
20352,267935
8355,15997
19913,862
9486,954
11024,268896
140300,604
5559,813
4638,984
808,10020
474335,213308
4258,3034
22794,109451
258509,6477
76492,7131
25195,712
112160,117486
41154,840
354912,6477
18785,12593
223702,376659
174321,449176
20352,93456
332210,9587
10661,8885
49524,9654
77338,862
6957,10995
10184,38
272693,449176
399174,531
454983,272693
400155,2907
269149,101299
23048,383498
11283,120
1824,38
45243,10474
256961,9029
12133,271
270946,413644
26123,10625
808,10140
8355,12144
223702,8363
418827,345
399170,336004
11130,4974
313369,10545
37735,14671
283995,8536
18240,9587
10947,89185
455207,449176
346648,281957
8961,9679
210860,281957
454983,101299
200727,417678
324849,8536
11774,2268
313369,705
747,762
9880,272693
390043,667
325133,19053
608,601
4638,4771
487558,769
2062,10137
460668,745
18785,45243
4944,332872
22538,9958
51540,7485
313369,525
46195,278927
10315,956
12153,8961
324852,18885
227973,141052
46195,15969
268531,52449
58233,681
258509,116149
2899,767
1593,12144
455656,449176
238713,302699
257445,767
137106,1452
23048,41154
416477,11007
283995,1452
455656,272693
22794,1593
2976,525
11688,809
194,10999
127380,9479
227973,209112
88751,262504
20048,50619
11397,10625
41630,13
257344,604
4258,762
278154,387592
6477,413644
487558,324786
23398,9587
18360,38055
291870,10030
59436,333339
112160,14
166426,285
11430,150689
41630,200727
325189,10625
9880,50479
542437,34509
58233,954
227159,483
4523,10882
8355,329
49519,8392
23631,637
507562,28609
4256,4258
354912,745
50546,225886
140300,809
431530,11395
454619,156022
138832,339692
13171,3134
257344,333339
72105,1024
10555,127380
4523,10020
223702,325133
177572,6312
10527,9732
228967,955
65057,3309
11024,75780
505906,390043
10192,10882
301337,12088
252838,11006
291805,9654
400928,35052
22970,11298
177572,238636
363088,99861
195589,376659
116745,580
445571,473149
58233,660
8961,306
159824,9479
10358,41630
353616,114150
291805,241554
8961,395834
413644,116711
10735,437557
290762,1267
10358,2255
2770,22705
267193,954
10358,10761
400579,425
65057,11846
325189,272693
4248,17899
262391,50546
257344,251516
271718,376659
181533,81
225886,38
503619,1359
194662,1927
4638,1696
920,364689
271718,510
9870,65057
238713,955
22794,105
293660,8536
10501,12227
12222,9325
10358,4995
433310,141
747,935
253235,291870
82654,294254
270946,10527
10096,772
218746,118
455980,460019
466282,9880
452731,370663
9928,605
88751,262500
188222,627
1593,105864
342473,11224
93456,137106
4247,398181
267193,302699
270946,10140
4256,3034
446894,487283
166426,71805
15165,30197
257445,68728
11774,630
445571,275
13053,9325
454983,11121
59678,27582
10625,37725
116745,1907
296099,19908
134374,272
27022,808
296099,135397
11774,12155
11130,449176
10625,272693
390043,1620
9502,278927
41154,348
371638,222935
39514,954
11024,290250
116149,2268
109431,15069
9870,271718
57800,425
371638,10734
449176,398818
9870,1824
11130,293863
413644,10140
1593,351286
98566,272
19908,82654
390043,245891
228161,157336
399796,12620
136795,359412
10192,14442
8920,4978
363088,1924
787,253
137106,8536
138832,429733
11688,10144
43074,4011
787,249070
950,435
14160,32085
76492,766
458423,812
8699,358761
122906,627
26123,2105
810,10882
9339,1597
10193,38757
38055,9806
100042,862
59436,68737
400155,7131
399174,387592
397422,862
10555,326359
5559,11856
260514,335797
150540,812
260514,9598
2022,20863
35,342878
174321,10947
438970,580
224141,808
371638,8966
15165,224141
10193,214756
489929,329865
10625,9880
100042,11006
200727,281957
416477,11005
116745,403119
50546,1903
18785,10029
218746,400928
420814,324786
22705,14174
45243,627
9928,2048
5559,744
334533,43923
171274,449176
15165,11224
46195,9325
82654,72190
122906,13
72105,13523
364433,155
227973,297762
364433,1924
193893,4771
122906,137106
310,5876
6957,41280
11774,44826
95610,11631
460668,181886
2976,313369
227973,49521
381289,12227
127380,10865
210860,101299
258509,23398
9870,652
337170,11856
194662,49026
116149,281957
137116,20352
354912,5123
23398,258480
301337,605
11770,9461
224141,11224
138832,273481
228967,137094
13053,927
460668,694
195589,325133
62177,109445
109451,3034
412988,14900
342473,10545
503619,419430
272693,1259
246741,159824
363088,209112
55721,114150
38055,809
44896,324668
325133,17899
109451,9738
45243,20289
150540,260513
193893,75780
49519,98
332210,37135
159824,766
7446,8689
38365,44564
136799,60304
363088,297762
22970,17609
11770,604
218746,1791
19908,1562
354912,4011
136799,32685
260514,15171
8920,10137
72105,290762
11397,11355
11397,272693
207703,155
10184,8390
391713,11421
400579,433
376659,290762
412988,11899
27581,503978
460668,453
291870,50124
10947,313369
150540,16577
268531,346364
18240,437557
23023,10882
445571,270487
13053,2698
1824,77
137116,62211
62764,408
502682,5951
227159,8067
4327,9502
225886,290762
455656,37725
25195,6557
262391,521
260514,9986
10661,433627
11631,9587
22970,98568
384677,18487
27022,10882
4944,1586
10735,634
109414,397422
2062,6283
1593,181533
399796,325133
10501,274857
95610,10735
254470,290762
11430,810
254470,354912
10315,269149
353486,333339
455207,101299
318846,106646
810,10191
228161,126889
340022,2502
283995,13640
18785,10474
8961,96
267193,36669
88751,351286
290250,75780
290250,807
214756,250546
257211,11631
10192,808
37735,449176
23023,14442
325189,11887
7443,1368
49013,105
364689,25475
383498,10138
136795,193893
376659,325133
193893,3580
920,128
489929,339846
134374,75780
920,11006
136795,395834
810,808
455980,353486
400928,103663
39514,254904
210860,411
10315,387592
246741,7131
57800,17610
11130,521
420814,425336
254470,5123
159824,129
44896,524
12222,269149
39513,602
9486,343668
11770,9502
43074,91586
4247,238636
13171,238636
4256,40264
19913,38
542437,270946
77931,9479
4327,9461
391713,376867
10501,38757
59678,9056
4944,11588
6477,10191
25195,8764
291870,712
11430,14211
38055,787
381289,336843
339404,13374
454619,357096
302699,27576
228161,7453
120467,916
542437,416477
195589,179144
106646,4771
269149,346364
49524,238636
747,19908
489929,238
257211,273153
14160,145316
166426,22
363088,141052
283995,299536
278154,49519
10661,117486
207703,99861
438970,578
489929,240
50544,1903
2899,9837
23048,1267
402900,772
269149,338970
109439,981
446894,8989
62764,58595
353616,332562
49524,210577
58233,37724
310,311
23048,206487
487558,363676
49013,270946
137106,1924
174321,89185
808,809
283995,1924
10591,449176
503619,109414
11024,293167
26123,449176
13374,1124
809,159704
438970,813
41630,137106
195589,8363
2062,308531
542437,35595
433310,41154
433310,206487
18360,44826
302699,36669
200727,51828
334533,2062
2899,674
80321,10258
254470,6477
462919,15121
210860,336843
44896,451
324849,379291
211672,324852
57800,18905
376659,22152
112160,86331
10555,438970
210860,12155
301337,500664
112160,449176
50546,24420
62177,10693
188222,862
4599,10054
88751,294254
122906,141
10625,89185
20048,449176
109439,18785
324852,93456
391713,9813
13171,4638
747,68
98566,605
100042,290762
195589,17899
23631,675
416477,772
109439,45243
15165,812
458423,30197
353486,131631
80321,9836
454992,691
46195,172385
290250,4771
39514,238713
1268,17979
12133,7326
65057,352501
10193,72105
402900,949
383498,209112
9928,87101
120467,311
106646,261023
10358,8224
77931,812
425,10567
41154,602
9486,956
118,9880
13374,18126
223702,12593
214756,11249
318846,44639
462919,64255
59436,336843
454992,660
10501,22
118,252
399796,49519
257445,674
62764,290595
95610,437557
10192,810
116149,411
364689,2503
4248,10246
433310,105
7443,708
585,55721
399174,533
390043,787
340022,2320
109431,4771
507562,14069
291870,6557
4638,1949
387592,86130
271718,325133
72105,24420
27022,290595
62177,10144
150540,12092
181533,122
13374,449176
14160,9479
252838,193893
503619,14
400928,52449
22970,298584
8699,109443
65057,12634
109431,11423
23023,16119
4327,11841
64688,9604
35,13
1268,1581
62764,321612
397422,13
6957,10246
257211,370663
10184,416691
920,62211
188222,270487
9880,81250
11283,674
82702,425
454619,467938
585,339404
2899,68735
257344,603
399170,291805
23023,11224
18240,11631
200727,11121
118,411
413644,557
384677,11474
267193,353081
207703,297762
454992,37724
19913,489
950,425
174321,9880
302699,954
608,607
11283,425
747,1359
418827,2124
364689,1265
4944,50546
140300,808
257445,671
258509,260514
225886,87567
214756,11187
18240,9813
118,12155
12153,1572
256961,524
58233,691
335797,9986
228967,254904
449749,400928
13171,317744
474335,13260
153518,368940
353486,314095
252838,24
585,1124
262391,112160
20352,342473
503619,935
98566,68721
228161,348
95610,9587
324849,1924
38055,127380
353616,254470
22705,24402
20048,8966
507562,9323
808,321612
38365,862
138832,4771
10096,26973
181533,12437
14160,326359
787,101
10501,24
412988,11176
449176,376867
9880,449176
9928,198184
93456,49519
256961,324668
10555,109445
10527,14211
26123,11887
200727,449176
291805,281957
10591,10625
445571,984
325133,12620
23398,370663
9502,15854
64688,75780
4248,22705
27581,503966
455656,19840
196867,15157
227159,1571
12153,96
22794,2062
449749,9769
502682,125255
455207,336843
293660,1452
134374,64688
80321,270946
22538,359784
437557,376660
350,65754
462919,2976
211672,366141
10661,399248
9870,9374
8920,86130
7446,258489
4247,106646
293660,141052
4327,24
122906,118
318846,316029
82702,10054
7453,336843
9486,955
608,395
381289,10140
136795,75780
140300,605
272693,308369
39513,20424
269149,278927
291805,260346
418827,405817
2770,8363
350,8966
5559,325133
4247,979
370567,10688
1268,927
59436,61979
278154,17610
370567,297708
431530,8871
346648,411
98566,1930
49524,11423
38055,1927
337170,254904
177572,395834
109414,185
296099,329
399796,114150
810,71805
290250,2275
50546,1259
120467,97630
370567,47913
82654,198663
95610,400579
332210,400579
138832,398181
390043,249070
4247,22705
177572,281957
252838,6557
2976,6477
118,10830
4638,13820
334533,284276
194,707
227973,99861
38365,13
402900,75656
253235,445571
27022,284052
449749,21484
4599,13
19908,72190
196867,11224
19908,170
43074,201085
9982,228161
77338,61979
808,10882
433310,127585
194662,98566
134374,339846
425,49519
50544,862
310,9946
136799,109445
438970,205321
13171,281957
57800,30505
1268,9479
23048,243938
49519,387592
454992,954
324849,1452
9982,601
418827,53932
194662,14
